Datetime;Ambient Temperature [ºC];Global Radiation [W/m2];Diffuse Radiation [W/m2];Ultraviolet [W/m2];Wind Velocity [m/s];Wind Direction [º];Precipitation [mm];Atmospheric pressure [hPa]
2018-01-01T12:36:00+00:00;16.283334;546.43468;66.180924;30.182066;2.233333;194.82746;0;1033.3
2018-01-01T12:56:00+00:00;16.599998;545.13496;67.45364000000001;30.53232;1.216667;194.9894;0;1033.2002
2018-01-01T13:02:00+00:00;16.95;548.604;73.303024;30.592758;1.916667;169.16698;0;1033.2002
2018-01-01T12:51:00+00:00;16.366668;550.55712;68.218024;30.634902;2.2;155.8032;0;1033.2002
2018-01-01T12:54:00+00:00;16.333334;547.87724;67.472192;30.61085;1.5;128.89924;0;1033.1334
2018-01-01T12:49:00+00:00;16.416668;540.81276;69.091816;30.374594;2.0;156.33098;0;1033.3
2018-01-01T13:08:00+00:00;16.6;577.29096;103.7624;31.418088;1.466667;147.03976;0;1033.1
2018-01-01T12:45:00+00:00;16.5;544.26056;66.771888;30.386002;2.4;160.1382;0;1033.3
2018-01-01T12:35:00+00:00;16.2;544.6342;66.982232;30.11728;1.766667;194.5223;0;1033.3
2018-01-01T14:35:00+00:00;16.050002;418.39072;92.593456;22.120194;2.533333;208.65838;0;1032.3
2018-01-01T14:45:00+00:00;16.050002;416.77368;81.709216;21.70082;1.7833329999999998;200.07482;0;1032.3
2018-01-01T14:39:00+00:00;15.833334;421.43236;86.172264;22.099648;1.7833329999999998;189.1425;0;1032.3
2018-01-01T14:08:00+00:00;15.400002;275.70676;175.42122;18.671264;1.083333;198.46706;0;1032.5
2018-01-01T14:18:00+00:00;15.916668;502.72264;127.88918;26.122874;0.85;224.49868;0;1032.4834
2018-01-01T14:07:00+00:00;15.466668;282.87374;172.63428;18.789704;2.05;203.4945;0;1032.4834
2018-01-01T13:59:00+00:00;15.866668;374.43332;213.8507;21.85024;1.716667;170.85848;0;1032.5
2018-01-01T13:55:00+00:00;16.083332;350.68984;225.26298;22.053144;1.35;229.12938;0;1032.6
2018-01-01T14:01:00+00:00;15.8;322.09116;188.3341;20.140126;1.433333;205.22398;0;1032.5
2018-01-01T14:00:00+00:00;15.8;471.29964;209.14054;24.2783;2.15;205.66482;0;1032.5
2018-01-01T15:45:00+00:00;16.300002;264.31336;58.861052;13.116324;1.733333;206.49786;0;1032.1832
2018-01-01T16:25:00+00:00;15.900002;138.48036;45.304388;7.09603;0.916667;242.22012;0;1032.1832
2018-01-01T16:15:00+00:00;16.116668;173.50484;52.932576;8.5609;1.183333;234.35834;0;1032.2002
2018-01-01T16:23:00+00:00;15.900002;145.94884;47.188432;7.379778;0.733333;240.87864;0;1032.2002
2018-01-01T16:21:00+00:00;15.916668;154.33124;50.3157;7.6637889999999995;1.416667;228.53052;0;1032.2002
2018-01-01T16:08:00+00:00;16.2;194.94458;54.091816;9.655012;0.783333;234.17818;0;1032.2002
2018-01-01T16:17:00+00:00;16.1;165.96952;49.688932;8.258456;1.266667;233.83744;0;1032.1666
2018-01-01T15:57:00+00:00;16.1;231.5526;59.019116;11.372442;1.266667;239.00152;0;1032.15
2018-01-01T16:02:00+00:00;16.1;213.84716;57.360768;10.601096;0.65;228.14222;0;1032.2002
2018-01-01T16:05:00+00:00;16.116668;205.1242;55.765636;10.13676;1.0;233.28912;0;1032.1
2018-01-01T16:35:00+00:00;15.7;109.47068;43.668544;5.731416;1.833333;212.65418;0;1032.1168
2018-01-01T16:27:00+00:00;15.900002;132.49044;44.405452;6.815535;1.25;232.16876;0;1032.2002
2018-01-01T16:30:00+00:00;15.85;124.86584;45.594792;6.401259;1.5;229.45852;0;1032.2002
2018-01-01T13:31:00+00:00;16.333334;530.87196;250.96954;27.916764;1.966667;207.7382;0;1032.7002
2018-01-01T13:17:00+00:00;16.966668;611.12404;185.48516;30.955842;1.483334;147.29224;0;1033.0
2018-01-01T13:24:00+00:00;16.616668;613.52788;231.54732;30.796364;1.65;217.5001;0;1032.8
2018-01-01T13:11:00+00:00;16.683334;601.88768;136.87596;32.411;1.683333;185.30856;0;1033.1
2018-01-01T13:43:00+00:00;16.1;376.32236;250.46004;22.761218;2.466667;191.61626;0;1032.55
